id;anzahl_sitze;erstzulassung;farbe;feinstaubplakette;getriebe;hubraum;karosserieform;km;kraftstoff;leistung_ps;marke;modell;preis;schadstoffklasse;tueren
kia-rio-1-5-klimaanlage-benzin-silber-36ac8455-dc9a-4c61-913d-ebdcbed491ae;5.0;2003.0;Silber;4 (Grün);Schaltgetriebe;1493.0;Kombi;161000.0;Benzin;97.0;Kia;Rio;1300.0;Euro 3;4.0
ford-fiesta-1-25i-16v-vendu-dans-l-etat-clim-benzin-grau-4c80867e-13e2-441e-86e3-ad4514d4d533;5.0;2004.0;Grau;Keine;Schaltgetriebe;1242.0;Limousine;183897.0;Benzin;69.0;Ford;Fiesta;1390.0;Euro 4;3.0
mazda-mpv-2-0-td-comfort-7-klima-servolenkung-diesel-blau-4e07a74a-c4a2-4ecf-b45e-deefafb6e397;7.0;2003.0;Blau;Keine;Schaltgetriebe;1998.0;Van/Kleinbus;135000.0;Diesel;136.0;Mazda;MPV;1390.0;Euro 3;4.0
opel-tigra-sport-twin-top-benzin-schwarz-607f943b-1ad3-45ac-80cf-61402ace458a;2.0;2005.0;Schwarz;4 (Grün);Schaltgetriebe;1796.0;Cabrio;102400.0;Super 95 / Super E10 95;125.0;Opel;Tigra;1390.0;Euro 4;2.0
peugeot-partner-1-6-hdi-indiana-vendu-dans-l-etat-diesel-gruen-50762e24-4008-4d59-acb2-85e68fb91731;5.0;2006.0;Grün;Keine;Schaltgetriebe;1560.0;Van/Kleinbus;287867.0;Diesel;90.0;Peugeot;Partner;1390.0;Euro 4;5.0
toyota-yaris-1-0i-vvt-i-16v-vendu-dans-l-etat-benzin-gold-a25a120b-3c6b-40bd-8262-0d6fe4d89a65;5.0;2001.0;Gold;Keine;Schaltgetriebe;998.0;Limousine;204734.0;Benzin;68.0;Toyota;Yaris;1390.0;Euro 3;3.0
opel-astra-g-coupe-1-8-16v-tuev-5-21-klima-alus-cd-benzin-blau-4e4f2fb6-bfa3-4772-b424-6c4cddf60d95;4.0;2001.0;Blau;4 (Grün);Schaltgetriebe;1796.0;Coupé;177486.0;Super 95;116.0;Opel;Astra;1450.0;Euro 4;2.0
mazda-6-sport-kombi-2-3-top-xenon-pdc-shz-ahk-tempomat-benzin-schwarz-6450f865-454f-40f4-9b82-33e5b22a4f1f;5.0;2005.0;Schwarz;4 (Grün);Schaltgetriebe;2261.0;Kombi;152000.0;Benzin;166.0;Mazda;6;1450.0;Euro 4;5.0
renault-megane-1-9-dci-dynamique-luxe-klima-diesel-schwarz-66cd8fb1-25fa-496d-b107-633ec41909e9;0.0;2004.0;Schwarz;3 (Gelb);Schaltgetriebe;1870.0;Limousine;213000.0;Diesel (Rußpartikelfilter);120.0;Renault;Megane;1480.0;Euro 3;5.0
seat-ibiza-1-2-amaro-radio-cd-scheckheft-benzin-blau-3fa11924-4a8e-406d-a6dc-2b2aad22e8e1;5.0;2005.0;Blau;4 (Grün);Schaltgetriebe;1198.0;Kleinwagen;129000.0;Benzin;64.0;SEAT;Ibiza;1480.0;Euro 4;3.0
fiat-grande-punto-1-4-16v-turbo-sport-t-jet-klima-bt-multif-lenkrad-benzin-weiss-c928e5ef-4c62-41e1-a9c2-6069fbbea98e;5.0;2008.0;Weiß;4 (Grün);Schaltgetriebe;1368.0;Kleinwagen;188000.0;Super 95;120.0;Fiat;Grande Punto;1490.0;Euro 4;3.0
mercedes-benz-e-240-elegance-schiebedach-pdc-shz-benzin-silber-f03dde27-0837-455b-b16b-c1272ef79794;5.0;2000.0;Silber;4 (Grün);Automatik;2398.0;Limousine;241000.0;Super 95;170.0;Mercedes-Benz;E 240;1490.0;Euro 4;4.0
fiat-scudo-1-9-d-el-kasten-220-lang-diesel-weiss-6f2a267b-243f-4735-b63b-936318de96d2;3.0;2001.0;Weiß;1 (Keine);Schaltgetriebe;1905.0;Transporter;269870.0;Diesel;69.0;Fiat;Scudo;1490.0;Keine;4.0
mazda-5-2-0-diesel-diesel-schwarz-4de32f94-fcef-4ae3-b6e0-77e5e5dbdb1c;7.0;2006.0;Schwarz;4 (Grün);Schaltgetriebe;1998.0;Van/Kleinbus;262500.0;Diesel;110.0;Mazda;5;1490.0;Euro 4;0.0
toyota-yaris-1-0-vvt-i-50-kw-68-ps-schalt-5-gang-benzin-silber-618b0ddc-ea7d-4f56-b100-a900636eae1b;0.0;2002.0;Silber;3 (Gelb);Schaltgetriebe;998.0;Kleinwagen;86287.0;Super 95;68.0;Toyota;Yaris;1490.0;Euro 3;2.0
volkswagen-lupo-1-0-mpi-50-ps-comfortline-tuev-neu-benzin-blau-a894b807-9363-4181-a269-538ca65cce58;5.0;1999.0;Blau;4 (Grün);Schaltgetriebe;999.0;Kleinwagen;131578.0;Super 95;50.0;Volkswagen;Lupo;1499.0;Euro 3;2.0
bmw-520-i-touring-xenon-klima-isofix-benzin-blau-4f20b86c-9891-4b56-8da0-de34a5810e75;5.0;2001.0;Blau;Keine;Schaltgetriebe;2171.0;Kombi;249000.0;Super 95;170.0;BMW;520;1499.0;Euro 3;4.0
opel-corsa-b-tuev-schiebedach-radio-servolenkung-benzin-rot-50cdd7df-7838-474c-b603-e917e2dd0323;0.0;2001.0;Rot;Keine;Schaltgetriebe;973.0;Kleinwagen;163799.0;Super 95;54.0;Opel;Corsa;1499.0;Keine;3.0
ford-mondeo-turnier-1-8-viva-x-8-fach-bereift-pps-benzin-blau-36cd935e-36f2-4e35-a64f-f72c8c3d79ce;5.0;2006.0;Blau;4 (Grün);Schaltgetriebe;1798.0;Kombi;220170.0;Super 95;110.0;Ford;Mondeo;1500.0;Euro 4;5.0
kia-cee-d-ceed-diesel-rot-920d620c-66b2-458b-ba11-aad3f34dffdf;5.0;2007.0;Rot;Keine;Schaltgetriebe;1582.0;Kleinwagen;231000.0;Diesel;90.0;Kia;cee'd / Ceed;1500.0;Euro 4;5.0
volkswagen-golf-iv-special-1-4-benzin-schwarz-d6979f52-184d-4b8c-8452-1763ba1dceb9;5.0;2002.0;Schwarz;1 (Keine);Schaltgetriebe;1390.0;Limousine;180965.0;Super 95;75.0;Volkswagen;Golf;1580.0;Euro 4;5.0
citroen-jumpy-1900-diesel-utilitaire-diesel-weiss-12c62251-8de2-453a-bd14-8b2811915154;3.0;2006.0;Weiß;Keine;Schaltgetriebe;1896.0;Transporter;225000.0;Diesel;69.0;Citroen;Jumpy;1599.0;Euro 3;5.0
bmw-320-ci-coupe-benzin-silber-274bfd79-3160-42dc-93fc-94c864db78fb;5.0;2000.0;Silber;4 (Grün);Schaltgetriebe;1991.0;Coupé;203500.0;Super 95;150.0;BMW;320;1600.0;Euro 4;2.0
volkswagen-polo-1-2-comfortline-klima-nbs-tuev-09-20-benzin-rot-083f8e04-beeb-4cdc-9b6e-d6550388f2d9;5.0;2002.0;Rot;4 (Grün);Schaltgetriebe;1198.0;Limousine;133000.0;Benzin;64.0;Volkswagen;Polo;1600.0;Euro 4;3.0
citroen-berlingo-1-4i-faltdach-gelb-171b08b9-33f5-4b2c-a1fe-ee11ff995300;0.0;2001.0;Gelb;4 (Grün);Schaltgetriebe;1360.0;Kleinwagen;180300.0;;75.0;Citroen;Berlingo;1618.0;Euro 4;4.0
audi-a4-lim-1-6-klima-schiebedach-benzin-schwarz-69fbfe78-0f47-4128-a098-6b8e2d61fa42;0.0;1996.0;Schwarz;4 (Grün);Schaltgetriebe;1595.0;Limousine;170000.0;Super 95;101.0;Audi;A4;1650.0;Euro 2;4.0
opel-vectra-caravan-1-9-cdti-cosmo-automatik-navi-xenon-diesel-schwarz-fd4bf0de-1e08-4f36-ab2f-c24d6c275934;5.0;2006.0;Schwarz;4 (Grün);Automatik;1910.0;Kombi;294000.0;Diesel (Rußpartikelfilter);150.0;Opel;Vectra;1680.0;Euro 4;5.0
mercedes-benz-c-220-t-cdi-automatik-xenon-standheizung-klima-diesel-rot-d2723e76-3727-4631-a15a-6cbabf5e7436;5.0;2004.0;Rot;4 (Grün);Automatik;2148.0;Kombi;300000.0;Diesel;150.0;Mercedes-Benz;C 220;1680.0;Euro 4;5.0
opel-astra-1-6-elegance-hu-au-neu-aktionspreis-benzin-gruen-c2796ba1-8e91-44ec-b1ec-4fb4067c5d2a;5.0;1998.0;Grün;4 (Grün);Schaltgetriebe;1598.0;Limousine;112300.0;Super 95;75.0;Opel;Astra;1690.0;Euro 3;5.0
citroen-xsara-picasso-1-6i-euro-4-benzin-blau-70dad6a5-edcf-9575-e053-0100007f0bbb;5.0;2006.0;Blau;Keine;Schaltgetriebe;1587.0;Van/Kleinbus;169000.0;Benzin;95.0;Citroen;Xsara Picasso;1699.0;Euro 4;5.0
renault-megane-grandtour-authentique-1-4-tuev-neu-benzin-gruen-f86f862a-4ddb-415c-a168-91615a7c3b71;5.0;2005.0;Grün;4 (Grün);Schaltgetriebe;1390.0;Kombi;200000.0;Super 95;98.0;Renault;Megane;1699.0;Euro 3;5.0
opel-vectra-1-9-cdti-caravan-automatik-cosmo-diesel-silber-396c6587-a414-4227-9423-60476df99197;5.0;2005.0;Silber;4 (Grün);Automatik;1910.0;Kombi;217500.0;Diesel (Rußpartikelfilter);150.0;Opel;Vectra;1700.0;Euro 4;4.0
opel-astra-1-2-caravan-1-hand-tuev-neu-benzin-rot-25641dcd-d182-4874-bb76-8e64e2972d66;5.0;2003.0;Rot;4 (Grün);Schaltgetriebe;1198.0;Kombi;170000.0;Benzin;75.0;Opel;Astra;1700.0;Euro 3;4.0
ford-focus-turnier-1-6-tdci-style-diesel-blau-ec9ca4b9-0aab-4886-b9b2-2c9a2eeb6a45;5.0;2009.0;Blau;4 (Grün);Schaltgetriebe;1560.0;Kombi;250000.0;Diesel (Rußpartikelfilter);90.0;Ford;Focus;1750.0;Euro 4;5.0
mercedes-benz-e-220-cdi-t-classic-dpf-motorschaden-diesel-schwarz-98e94aad-1a59-4904-899d-b2b1e4810e94;5.0;2006.0;Schwarz;4 (Grün);Automatik;2148.0;Kombi;250000.0;Diesel (Rußpartikelfilter);150.0;Mercedes-Benz;E 220;1750.0;Euro 4;5.0
mazda-xedos-2-5i-v6-exclusive-srf-autom-sitzh-benzin-gruen-40d6c463-b8dd-4cfa-ac28-4804f8d8d6ca;5.0;2001.0;Grün;4 (Grün);Automatik;2497.0;Limousine;129000.0;Benzin;163.0;Mazda;Xedos;1790.0;Euro 3;4.0
mercedes-benz-c-220-t-cdi-classic-aut-klima-pdc-sitzhzg-diesel-blau-0afea06e-a9cf-4288-b4e5-efb1b005c65e;5.0;2002.0;Blau;3 (Gelb);Automatik;2148.0;Kombi;296000.0;Diesel;143.0;Mercedes-Benz;C 220;1790.0;Euro 3;4.0
mercedes-benz-a-140-elegance-vendu-dans-l-etat-benzin-rot-ea1cff56-e533-4e80-9808-acc7417c7fe4;5.0;2002.0;Rot;Keine;Schaltgetriebe;1397.0;Van/Kleinbus;177804.0;Benzin;82.0;Mercedes-Benz;A 140;1790.0;Euro 4;5.0
toyota-yaris-1-4-turbo-d4d-avec-ct-demande-d-immatriculation-diesel-grau-de6ccbd8-de26-4134-ad75-a290e027fcd3;5.0;2002.0;Grau;Keine;Schaltgetriebe;1364.0;Van/Kleinbus;243000.0;Diesel;75.0;Toyota;Yaris;1790.0;Euro 3;5.0
mitsubishi-lancer-2-0-kombi-4-hd-163-tkm-benzin-schwarz-dc2e530c-fb4a-4e11-9e9b-2b69667db282;5.0;2004.0;Schwarz;4 (Grün);Schaltgetriebe;1997.0;Kombi;163400.0;Benzin;135.0;Mitsubishi;Lancer;1799.0;Euro 4;4.0
honda-civic-1-4-i-ls-klima-benzin-silber-5b60d5d8-c011-4605-8b6e-0a4202656185;0.0;2004.0;Silber;4 (Grün);Schaltgetriebe;1396.0;Limousine;164814.0;Super 95;90.0;Honda;Civic;1890.0;Euro 4;3.0
opel-astra-h-gtc-edition-8-fach-bereift-klima-nsw-benzin-blau-38b529ba-37a1-449b-a1f2-19adf93e446e;5.0;2005.0;Blau;4 (Grün);Schaltgetriebe;1364.0;Limousine;130200.0;Super 95;90.0;Opel;Astra;1890.0;Keine;2.0
peugeot-307-sw-110-hu-au-u-insp-neu-benzin-schwarz-dfe794eb-04a4-4790-a04b-8d74cdc7d8a0;5.0;2003.0;Schwarz;Keine;Schaltgetriebe;1587.0;Kombi;207320.0;Super 95 / Super E10 95;109.0;Peugeot;307;1890.0;Euro 4;5.0
mazda-6-2-0-bose-sitzh-klima-8fach-alu-elektr-fenster-diesel-blau-3af1f636-5907-4faa-9d7a-263a7feadcd5;0.0;2002.0;Blau;4 (Grün);Schaltgetriebe;1998.0;Limousine;130600.0;Diesel;136.0;Mazda;6;1899.0;Euro 3;5.0
ford-fiesta-ambiente-1-3-tuev-neu-1-hand-benzin-orange-7cdefd4f-de56-4735-ac95-464650ecbb61;5.0;2005.0;Orange;4 (Grün);Schaltgetriebe;1299.0;Kleinwagen;87000.0;Super 95;60.0;Ford;Fiesta;1899.0;Euro 4;4.0
mazda-5-2-0-cd-dpf-7-sitzer-xenon-tuev-10-21-diesel-6e558f16-a3bb-4a03-b8da-37019b4f5e49;7.0;2006.0;;4 (Grün);Schaltgetriebe;1998.0;Van/Kleinbus;320000.0;Diesel (Rußpartikelfilter);143.0;Mazda;5;1899.0;Euro 4;4.0
peugeot-206-cabriolet-cc-filou-benzin-schwarz-30005107-674c-430f-886b-f53e3ed55716;4.0;2005.0;Schwarz;4 (Grün);;1587.0;Cabrio;119990.0;Super 95;109.0;Peugeot;206;1900.0;Keine;2.0
